"Source:","/home/joseph/projects/weather-station/radio/radio.sch"
"Date:","Wed 24 Nov 2021 07:50:49 PM EST"
"Tool:","Eeschema 5.1.12-84ad8e8a86~92~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","165"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"","","C1","10u","Device:C_Small","","~","","","","","","","","",""
"","","C2","1p","Device:C_Small","","~","","","","","","","","",""
"","","C3","1p","Device:C_Small","","~","","","","","","","","",""
"","","C4","510p","Device:C_Small","","~","","","","","","","","",""
"","","C5","1u","Device:C_Small","","~","","","","","","","","",""
"","","C6","470p","Device:C_Small","","~","","","","","","","","",""
"","","C7","2.5n","Device:C","","~","","","","","","","","",""
"","","C8","470p","Device:C_Small","","~","","","","","","","","",""
"","","C9","12p","Device:C_Small","","~","","","","","","","","",""
"","","C10","56p","Device:C_Small","","~","","","","","","","","",""
"","","C11","5.6p","Device:C_Small","","~","","","","","","","","",""
"","","C12","10u","Device:C_Small","","~","","","","","","","","",""
"","","C13","10u","Device:C_Small","","~","","","","","","","","",""
"","","C14","4.7u","Device:C_Small","","~","","","","","","","","",""
"","","C15","470p","Device:C_Small","","~","","","","","","","","",""
"","","C16","10n","Device:C","","~","","","","","","","","",""
"","","C17","10n","Device:C","","~","","","","","","","","",""
"","","C18","470p","Device:C_Small","","~","","","","","","","","",""
"","","C19","1u","Device:C_Small","","~","","","","","","","","",""
"","","C20","1u","Device:C_Small","","~","","","","","","","","",""
"","","C21","470p","Device:C_Small","","~","","","","","","","","",""
"","","C22","2.5n","Device:C","","~","","","","","","","","",""
"","","C23","1p","Device:C_Small","","~","","","","","","","","",""
"","","C24","1p","Device:C_Small","","~","","","","","","","","",""
"","","C25","510p","Device:C_Small","","~","","","","","","","","",""
"","","C26","510p","Device:C_Small","","~","","","","","","","","",""
"","","C27","1u","Device:C_Small","","~","","","","","","","","",""
"","","C28","2.5n","Device:C","","~","","","","","","","","",""
"","","C29","C_Small","Device:C_Small","","~","","","","","","","","",""
"","","C30","1n","Device:C_Small","","~","","","","","","","","",""
"","","C31","470pF","Device:C_Small","","~","","","","","","","","",""
"","","C32","470p","Device:C_Small","","~","","","","","","","","",""
"","","C33","3.3pF","Device:C_Small","","~","","","","","","","","",""
"","","C34","12p","Device:C_Small","","~","","","","","","","","",""
"","","C35","56p","Device:C_Small","","~","","","","","","","","",""
"","","C36","5.6p","Device:C_Small","","~","","","","","","","","",""
"","","C37","1nF","Device:C_Small","","~","","","","","","","","",""
"","","C38","10u","Device:C_Small","","~","","","","","","","","",""
"","","C39","10u","Device:C_Small","","~","","","","","","","","",""
"","","C40","10u","Device:C_Small","","~","","","","","","","","",""
"","","C41","0.1u","Device:C_Small","","~","","","","","","","","",""
"","","C42","0.1u","Device:C_Small","","~","","","","","","","","",""
"","","C43","100p","Device:C","","~","","","","","","","","",""
"","","C44","0.1u","Device:C_Small","","~","","","","","","","","",""
"","","C45","0.1u","Device:C_Small","","~","","","","","","","","",""
"","","C46","1p","Device:C_Small","","~","","","","","","","","",""
"","","C47","5.6p","Device:C_Small","","~","","","","","","","","",""
"","","C48","4.7p","Device:C_Small","","~","","","","","","","","",""
"","","C49","1.5n","Device:C_Small","","~","","","","","","","","",""
"","","C50","2n","Device:C_Small","","~","","","","","","","","",""
"","","C51","2n","Device:C_Small","","~","","","","","","","","",""
"","","C52","2n","Device:C_Small","","~","","","","","","","","",""
"","","C53","22p","Device:C_Small","","~","","","","","","","","",""
"","","C54","33p","Device:C_Small","","~","","","","","","","","",""
"","","C55","22p","Device:C_Small","","~","","","","","","","","",""
"","","C56","22p","Device:C_Small","","~","","","","","","","","",""
"","","C57","2.5n","Device:C","","~","","","","","","","","",""
"","","C58","2.5n","Device:C","","~","","","","","","","","",""
"","","C59","2.5n","Device:C","","~","","","","","","","","",""
"","","C60","36p","Device:C_Small","","~","","","","","","","","",""
"","","C61","47p","Device:C_Small","","~","","","","","","","","",""
"","","C62","13p","Device:C_Small","","~","","","","","","","","",""
"","","C63","2.5n","Device:C","","~","","","","","","","","",""
"","","C64","2.5n","Device:C_Small","","~","","","","","","","","",""
"","","C65","100p","Device:C_Small","","~","","","","","","","","",""
"","","C66","10u","Device:C_Small","","~","","","","","","","","",""
"","","C67","0.1uF","Device:C_Small","","~","","","","","","","","",""
"","","C68","0.1uF","Device:C_Small","","~","","","","","","","","",""
"","","FL1","EMI_Filter_CommonMode","Device:EMI_Filter_CommonMode","","~","","","","","","","","",""
"","","J1","+5VD","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","J2","in","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"","","J3","out","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"","","J4","in","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"","","J5","out","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"","","J6","+5VA","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","J7","+3VA","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","J8","Antenna","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"","","J9","FREQ CTRL","Connector:Conn_01x06_Male","","~","","","","","","","","",""
"","","J10","CLK_125MHz","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","J11","50 Ohm IF IN","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"","","JP1","Vbias","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"","","JP2","Vparamp","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"","","JP3","paramp en","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"","","JP4","DDS Clock EN","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"","","JP5","Shift LO","Jumper:SolderJumper_3_Bridged12","","~","","","","","","","","",""
"","","JP6","A3","Jumper:SolderJumper_2_Bridged","","~","","","","","","","","",""
"","","JP7","choke bp","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"","","JP8","5V LO","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"","","JP9","3V LO","Jumper:SolderJumper_2_Bridged","","~","","","","","","","","",""
"","","JP10","choke bp","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"","","JP11","Jumper_NC_Dual","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"","","L1","1.2u","Device:L","","~","","","","","","","","",""
"","","L2","1.2u","Device:L","","~","","","","","","","","",""
"","","L3","19n","Device:L","","~","","","","","","","","",""
"","","L4","2.4n","Device:L","","~","","","","","","","","",""
"","","L5","12n","Device:L","","~","","","","","","","","",""
"","","L6","0.1u","Device:L","","0630CS","","","","","","","","",""
"","","L7","5u","Device:L","","0630CS","","","","","","","","",""
"","","L8","56n","Device:L","","~","","","","","","","","",""
"","","L9","56n","Device:L","","~","","","","","","","","",""
"","","L10","1.2u","Device:L","","~","","","","","","","","",""
"","","L11","1.2u","Device:L","","~","","","","","","","","",""
"","","L12","2.4n","Device:L","","~","","","","","","","","",""
"","","L13","2.4n","Device:L","","~","","","","","","","","",""
"","","L14","19n","Device:L","","~","","","","","","","","",""
"","","L15","150nH","Device:L","","0630CS","","","","","","","","",""
"","","L16","12n","Device:L","","~","","","","","","","","",""
"","","L17","120n","Device:L","","~","","","","","","","","",""
"","","L18","130n","Device:L","","~","","","","","","","","",""
"","","L19","120n","Device:L","","~","","","","","","","","",""
"","","L20","470n","Device:L","","~","","","","","","","","",""
"","","L21","390n","Device:L","","~","","","","","","","","",""
"","","L22","390n","Device:L","","~","","","","","","","","",""
"","","L23","10u","Device:L","","~","","","","","","","","",""
"","","L24","10u","Device:L","","~","","","","","","","","",""
"","","L25","33n","Device:L","","~","","","","","","","","",""
"","","L26","123n","Device:L","","~","","","","","","","","",""
"","","L27","90n","Device:L","","~","","","","","","","","",""
"","","Q1","MMBTH10","Device:Q_NPN_BEC","","~","","","","","","","","",""
"","","Q2","2N2222","Device:Q_NPN_BEC","","~","","","","","","","","",""
"","","Q3","2N2222","Device:Q_NPN_BEC","","~","","","","","","","","",""
"","","R1","1k","Device:R","","~","","","","","","","","",""
"","","R2","1k","Device:R","","~","","","","","","","","",""
"","","R3","68k","Device:R","","~","","","","","","","","",""
"","","R4","68k","Device:R","","~","","","","","","","","",""
"","","R5","51","Device:R","","~","","","","","","","","",""
"","","R6","68k","Device:R","","~","","","","","","","","",""
"","","R7","47k","Device:R","","~","","","","","","","","",""
"","","R8","R","Device:R","","~","","","","","","","","",""
"","","R9","R","Device:R","","~","","","","","","","","",""
"","","R10","470","Device:R","","~","","","","","","","","",""
"","","R11","510","Device:R","","~","","","","","","","","",""
"","","R12","68","Device:R","","~","","","","","","","","",""
"","","R13","680","Device:R","","~","","","","","","","","",""
"","","R14","100k","Device:R","","~","","","","","","","","",""
"","","R15","51","Device:R","","~","","","","","","","","",""
"","","R16","39k","Device:R","","~","","","","","","","","",""
"","","R17","0","Device:R","","~","","","","","","","","",""
"","","R18","50","Device:R","","~","","","","","","","","",""
"","","R19","25","Device:R","","~","","","","","","","","",""
"","","R20","1k","Device:R","","~","","","","","","","","",""
"","","R21","30","Device:R","","~","","","","","","","","",""
"","","R22","75","Device:R","","~","","","","","","","","",""
"","","R23","1k","Device:R","","~","","","","","","","","",""
"","","R24","150","Device:R","","~","","","","","","","","",""
"","","R25","1.2k","Device:R","","~","","","","","","","","",""
"","","R26","2k","Device:R","","~","","","","","","","","",""
"","","R27","1.2k","Device:R","","~","","","","","","","","",""
"","","R28","75","Device:R","","~","","","","","","","","",""
"","","R29","3.9k","Device:R","","~","","","","","","","","",""
"","","R30","1.2k","Device:R","","~","","","","","","","","",""
"","","R31","47","Device:R","","~","","","","","","","","",""
"","","R32","47","Device:R","","~","","","","","","","","",""
"","","R33","100","Device:R","","~","","","","","","","","",""
"","","R34","10","Device:R","","~","","","","","","","","",""
"","","R35","1k","Device:R","","~","","","","","","","","",""
"","","R36","100","Device:R","","~","","","","","","","","",""
"","","R37","1k","Device:R","","~","","","","","","","","",""
"","","T1","Transformer_1P_1S","Device:Transformer_1P_1S","","~","","","","","","","","",""
"","","U1","ADE-11X+","dk_RF-Demodulators:ADE-11X+","RF_Mini-Circuits:Mini-Circuits_CD542_LandPatternPL-052","www.minicircuits.com/pdfs/ADE-6.pdf","","","","","","","","",""
"","","U2","CMX901","dk_RF-Amplifiers:CMX901","Home:QFN-28_EP_5x5_Pitch0.5mm","CMX901QT8","","","","","","","","",""
"","","U3","TXU0304RUTR","dk_Logic-Translators-Level-Shifters:TXU0304RUTR","Package_DFN_QFN:Texas_R_PUQFN-N12","http://www.ti.com/lit/ds/symlink/txu0104.pdf","","","","","","","","",""
"","","U4","AD9850","Interface:AD9850","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.analog.com/media/en/technical-documentation/data-sheets/AD9850.pdf","","","","","","","","",""
"","","U5","SiT9365AC-2B1-33E","dk_Oscillators:SiT9365AC-2B1-33E","Home:POD-038-PQFD-006-C03225","","","","","","","","","",""
"","","U6","DS90LV028ATM","DS90LV028ATM:DS90LV028ATM","SOIC127P599X175-8N","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","MPN","Manufacturer","Status"
"1","7","C1, C12, C13, C38, C39, C40, C66","10u","Device:C_Small","","~","","","","","","","","",""
"2","5","C2, C3, C23, C24, C46","1p","Device:C_Small","","~","","","","","","","","",""
"3","3","C4, C25, C26","510p","Device:C_Small","","~","","","","","","","","",""
"4","4","C5, C19, C20, C27","1u","Device:C_Small","","~","","","","","","","","",""
"5","6","C6, C8, C15, C18, C21, C32","470p","Device:C_Small","","~","","","","","","","","",""
"6","7","C7, C22, C28, C57, C58, C59, C63","2.5n","Device:C","","~","","","","","","","","",""
"7","2","C9, C34","12p","Device:C_Small","","~","","","","","","","","",""
"8","2","C10, C35","56p","Device:C_Small","","~","","","","","","","","",""
"9","3","C11, C36, C47","5.6p","Device:C_Small","","~","","","","","","","","",""
"10","1","C14","4.7u","Device:C_Small","","~","","","","","","","","",""
"11","2","C16, C17","10n","Device:C","","~","","","","","","","","",""
"12","1","C29","C_Small","Device:C_Small","","~","","","","","","","","",""
"13","1","C30","1n","Device:C_Small","","~","","","","","","","","",""
"14","1","C31","470pF","Device:C_Small","","~","","","","","","","","",""
"15","1","C33","3.3pF","Device:C_Small","","~","","","","","","","","",""
"16","1","C37","1nF","Device:C_Small","","~","","","","","","","","",""
"17","4","C41, C42, C44, C45","0.1u","Device:C_Small","","~","","","","","","","","",""
"18","1","C43","100p","Device:C","","~","","","","","","","","",""
"19","1","C48","4.7p","Device:C_Small","","~","","","","","","","","",""
"20","1","C49","1.5n","Device:C_Small","","~","","","","","","","","",""
"21","3","C50, C51, C52","2n","Device:C_Small","","~","","","","","","","","",""
"22","3","C53, C55, C56","22p","Device:C_Small","","~","","","","","","","","",""
"23","1","C54","33p","Device:C_Small","","~","","","","","","","","",""
"24","1","C60","36p","Device:C_Small","","~","","","","","","","","",""
"25","1","C61","47p","Device:C_Small","","~","","","","","","","","",""
"26","1","C62","13p","Device:C_Small","","~","","","","","","","","",""
"27","1","C64","2.5n","Device:C_Small","","~","","","","","","","","",""
"28","1","C65","100p","Device:C_Small","","~","","","","","","","","",""
"29","2","C67, C68","0.1uF","Device:C_Small","","~","","","","","","","","",""
"30","1","FL1","EMI_Filter_CommonMode","Device:EMI_Filter_CommonMode","","~","","","","","","","","",""
"31","1","J1","+5VD","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"32","2","J2, J4","in","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"33","2","J3, J5","out","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"34","1","J6","+5VA","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"35","1","J7","+3VA","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"36","1","J8","Antenna","dk_Coaxial-Connectors-RF:142-0701-801","digikey-footprints:RF_SMA_BoardEdge_142-0701-801","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","Connectors, Interconnects","http://www.belfuse.com/resources/Johnson/drawings/dr-1420701801.pdf","/product-detail/en/cinch-connectivity-solutions-johnson/142-0701-801/J502-ND/35280","CONN SMA JACK STR 50OHM EDGE MNT","J502-ND","Coaxial Connectors (RF)","142-0701-801","Cinch Connectivity Solutions Johnson","Active"
"37","1","J9","FREQ CTRL","Connector:Conn_01x06_Male","","~","","","","","","","","",""
"38","1","J10","CLK_125MHz","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"39","1","J11","50 Ohm IF IN","Connector:Conn_01x02_Male","","~","","","","","","","","",""
"40","1","JP1","Vbias","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"41","1","JP2","Vparamp","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"42","1","JP3","paramp en","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"43","1","JP4","DDS Clock EN","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"44","1","JP5","Shift LO","Jumper:SolderJumper_3_Bridged12","","~","","","","","","","","",""
"45","1","JP6","A3","Jumper:SolderJumper_2_Bridged","","~","","","","","","","","",""
"46","2","JP7, JP10","choke bp","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"47","1","JP8","5V LO","Jumper:SolderJumper_2_Open","","~","","","","","","","","",""
"48","1","JP9","3V LO","Jumper:SolderJumper_2_Bridged","","~","","","","","","","","",""
"49","1","JP11","Jumper_NC_Dual","Device:Jumper_NC_Dual","","~","","","","","","","","",""
"50","4","L1, L2, L10, L11","1.2u","Device:L","","~","","","","","","","","",""
"51","2","L3, L14","19n","Device:L","","~","","","","","","","","",""
"52","3","L4, L12, L13","2.4n","Device:L","","~","","","","","","","","",""
"53","2","L5, L16","12n","Device:L","","~","","","","","","","","",""
"54","1","L6","0.1u","Device:L","","0630CS","","","","","","","","",""
"55","1","L7","5u","Device:L","","0630CS","","","","","","","","",""
"56","2","L8, L9","56n","Device:L","","~","","","","","","","","",""
"57","1","L15","150nH","Device:L","","0630CS","","","","","","","","",""
"58","2","L17, L19","120n","Device:L","","~","","","","","","","","",""
"59","1","L18","130n","Device:L","","~","","","","","","","","",""
"60","1","L20","470n","Device:L","","~","","","","","","","","",""
"61","2","L21, L22","390n","Device:L","","~","","","","","","","","",""
"62","2","L23, L24","10u","Device:L","","~","","","","","","","","",""
"63","1","L25","33n","Device:L","","~","","","","","","","","",""
"64","1","L26","123n","Device:L","","~","","","","","","","","",""
"65","1","L27","90n","Device:L","","~","","","","","","","","",""
"66","1","Q1","MMBTH10","Device:Q_NPN_BEC","","~","","","","","","","","",""
"67","2","Q2, Q3","2N2222","Device:Q_NPN_BEC","","~","","","","","","","","",""
"68","6","R1, R2, R20, R23, R35, R37","1k","Device:R","","~","","","","","","","","",""
"69","3","R3, R4, R6","68k","Device:R","","~","","","","","","","","",""
"70","2","R5, R15","51","Device:R","","~","","","","","","","","",""
"71","1","R7","47k","Device:R","","~","","","","","","","","",""
"72","2","R8, R9","R","Device:R","","~","","","","","","","","",""
"73","1","R10","470","Device:R","","~","","","","","","","","",""
"74","1","R11","510","Device:R","","~","","","","","","","","",""
"75","1","R12","68","Device:R","","~","","","","","","","","",""
"76","1","R13","680","Device:R","","~","","","","","","","","",""
"77","1","R14","100k","Device:R","","~","","","","","","","","",""
"78","1","R16","39k","Device:R","","~","","","","","","","","",""
"79","1","R17","0","Device:R","","~","","","","","","","","",""
"80","1","R18","50","Device:R","","~","","","","","","","","",""
"81","1","R19","25","Device:R","","~","","","","","","","","",""
"82","1","R21","30","Device:R","","~","","","","","","","","",""
"83","2","R22, R28","75","Device:R","","~","","","","","","","","",""
"84","1","R24","150","Device:R","","~","","","","","","","","",""
"85","3","R25, R27, R30","1.2k","Device:R","","~","","","","","","","","",""
"86","1","R26","2k","Device:R","","~","","","","","","","","",""
"87","1","R29","3.9k","Device:R","","~","","","","","","","","",""
"88","2","R31, R32","47","Device:R","","~","","","","","","","","",""
"89","2","R33, R36","100","Device:R","","~","","","","","","","","",""
"90","1","R34","10","Device:R","","~","","","","","","","","",""
"91","1","T1","Transformer_1P_1S","Device:Transformer_1P_1S","","~","","","","","","","","",""
"92","1","U1","ADE-11X+","dk_RF-Demodulators:ADE-11X+","RF_Mini-Circuits:Mini-Circuits_CD542_LandPatternPL-052","www.minicircuits.com/pdfs/ADE-6.pdf","","","","","","","","",""
"93","1","U2","CMX901","dk_RF-Amplifiers:CMX901","Home:QFN-28_EP_5x5_Pitch0.5mm","CMX901QT8","","","","","","","","",""
"94","1","U3","TXU0304RUTR","dk_Logic-Translators-Level-Shifters:TXU0304RUTR","Package_DFN_QFN:Texas_R_PUQFN-N12","http://www.ti.com/lit/ds/symlink/txu0104.pdf","","","","","","","","",""
"95","1","U4","AD9850","Interface:AD9850","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.analog.com/media/en/technical-documentation/data-sheets/AD9850.pdf","","","","","","","","",""
"96","1","U5","SiT9365AC-2B1-33E","dk_Oscillators:SiT9365AC-2B1-33E","Home:POD-038-PQFD-006-C03225","","","","","","","","","",""
"97","1","U6","DS90LV028ATM","DS90LV028ATM:DS90LV028ATM","SOIC127P599X175-8N","","","","","","","","","",""
